IdentyfikatorProduktu(ID);Atrybut(Nazwa: Typ:Pozycja) *;Wartość(Wartość: Pozycja) *;Ilość
16;Rozmiar:select:0;L:0;50
16;Rozmiar:select:0;XL:0;50
16;Rozmiar:select:0;XXL:0;50
17;Rozmiar:select:0;M:0;50
17;Rozmiar:select:0;XL:0;50
17;Rozmiar:select:0;XXL:0;50
18;Rozmiar:select:0;28:0;50
18;Rozmiar:select:0;30:0;50
18;Rozmiar:select:0;32:0;50
18;Rozmiar:select:0;34:0;50
18;Rozmiar:select:0;36:0;50
18;Rozmiar:select:0;38:0;50
19;Rozmiar:select:0;28:0;50
19;Rozmiar:select:0;30:0;50
19;Rozmiar:select:0;32:0;50
19;Rozmiar:select:0;34:0;50
19;Rozmiar:select:0;36:0;50
19;Rozmiar:select:0;38:0;50
20;Rozmiar:select:0;S:0;50
20;Rozmiar:select:0;M:0;50
20;Rozmiar:select:0;XL:0;50
20;Rozmiar:select:0;XXL:0;50
21;Rozmiar:select:0;S:0;50
21;Rozmiar:select:0;M:0;50
21;Rozmiar:select:0;XL:0;50
21;Rozmiar:select:0;XXL:0;50
22;Rozmiar:select:0;S:0;50
22;Rozmiar:select:0;M:0;50
22;Rozmiar:select:0;L:0;50
22;Rozmiar:select:0;XL:0;50
22;Rozmiar:select:0;XXL:0;50
23;Rozmiar:select:0;S:0;50
23;Rozmiar:select:0;XL:0;50
23;Rozmiar:select:0;XXL:0;50
24;Rozmiar:select:0;S:0;50
24;Rozmiar:select:0;M:0;50
24;Rozmiar:select:0;XL:0;50
24;Rozmiar:select:0;XXL:0;50
25;Rozmiar:select:0;S:0;50
25;Rozmiar:select:0;M:0;50
25;Rozmiar:select:0;L:0;50
25;Rozmiar:select:0;XL:0;50
25;Rozmiar:select:0;XXL:0;50
26;Rozmiar:select:0;M:0;50
26;Rozmiar:select:0;XL:0;50
26;Rozmiar:select:0;XXL:0;50
27;Rozmiar:select:0;M:0;50
27;Rozmiar:select:0;L:0;50
27;Rozmiar:select:0;XL:0;50
27;Rozmiar:select:0;XXL:0;50
28;Rozmiar:select:0;M:0;50
28;Rozmiar:select:0;XL:0;50
28;Rozmiar:select:0;XXL:0;50
29;Rozmiar:select:0;M:0;50
29;Rozmiar:select:0;L:0;50
29;Rozmiar:select:0;XL:0;50
29;Rozmiar:select:0;XXL:0;50
30;Rozmiar:select:0;S:0;50
30;Rozmiar:select:0;M:0;50
30;Rozmiar:select:0;L:0;50
30;Rozmiar:select:0;XL:0;50
31;Rozmiar:select:0;S:0;50
31;Rozmiar:select:0;M:0;50
31;Rozmiar:select:0;L:0;50
31;Rozmiar:select:0;XL:0;50
32;Rozmiar:select:0;S:0;50
32;Rozmiar:select:0;M:0;50
32;Rozmiar:select:0;XL:0;50
33;Rozmiar:select:0;S:0;50
33;Rozmiar:select:0;M:0;50
33;Rozmiar:select:0;L:0;50
33;Rozmiar:select:0;XL:0;50
33;Rozmiar:select:0;XXL:0;50
34;Rozmiar:select:0;S:0;50
34;Rozmiar:select:0;M:0;50
34;Rozmiar:select:0;L:0;50
34;Rozmiar:select:0;XL:0;50
34;Rozmiar:select:0;XXL:0;50
35;Rozmiar:select:0;S:0;50
35;Rozmiar:select:0;M:0;50
35;Rozmiar:select:0;L:0;50
35;Rozmiar:select:0;XL:0;50
35;Rozmiar:select:0;XXL:0;50
36;Rozmiar:select:0;M:0;50
36;Rozmiar:select:0;L:0;50
36;Rozmiar:select:0;XL:0;50
36;Rozmiar:select:0;XXL:0;50
37;Rozmiar:select:0;XL:0;50
37;Rozmiar:select:0;XXL:0;50
38;Rozmiar:select:0;M:0;50
38;Rozmiar:select:0;XXL:0;50
39;Rozmiar:select:0;M:0;50
39;Rozmiar:select:0;XXL:0;50
40;Rozmiar:select:0;M:0;50
40;Rozmiar:select:0;XL:0;50
40;Rozmiar:select:0;XXL:0;50
41;Rozmiar:select:0;M:0;50
41;Rozmiar:select:0;L:0;50
41;Rozmiar:select:0;XL:0;50
41;Rozmiar:select:0;XXL:0;50
42;Rozmiar:select:0;29:0;50
42;Rozmiar:select:0;30:0;50
42;Rozmiar:select:0;31:0;50
43;Rozmiar:select:0;M:0;50
43;Rozmiar:select:0;L:0;50
43;Rozmiar:select:0;XL:0;50
43;Rozmiar:select:0;XXL:0;50
44;Rozmiar:select:0;M:0;50
44;Rozmiar:select:0;L:0;50
44;Rozmiar:select:0;XL:0;50
44;Rozmiar:select:0;XXL:0;50
45;Rozmiar:select:0;M:0;50
45;Rozmiar:select:0;L:0;50
45;Rozmiar:select:0;XL:0;50
45;Rozmiar:select:0;XXL:0;50
46;Rozmiar:select:0;29:0;50
46;Rozmiar:select:0;30:0;50
46;Rozmiar:select:0;31:0;50
46;Rozmiar:select:0;32:0;50
46;Rozmiar:select:0;33:0;50
47;Rozmiar:select:0;29:0;50
47;Rozmiar:select:0;30:0;50
47;Rozmiar:select:0;31:0;50
47;Rozmiar:select:0;32:0;50
47;Rozmiar:select:0;33:0;50
48;Rozmiar:select:0;S:0;50
48;Rozmiar:select:0;M:0;50
48;Rozmiar:select:0;L:0;50
48;Rozmiar:select:0;XL:0;50
48;Rozmiar:select:0;XXL:0;50
49;Rozmiar:select:0;30:0;50
49;Rozmiar:select:0;32:0;50
49;Rozmiar:select:0;34:0;50
49;Rozmiar:select:0;36:0;50
49;Rozmiar:select:0;38:0;50
50;Rozmiar:select:0;30:0;50
50;Rozmiar:select:0;32:0;50
50;Rozmiar:select:0;34:0;50
50;Rozmiar:select:0;36:0;50
50;Rozmiar:select:0;38:0;50
51;Rozmiar:select:0;28:0;50
51;Rozmiar:select:0;30:0;50
51;Rozmiar:select:0;32:0;50
51;Rozmiar:select:0;34:0;50
51;Rozmiar:select:0;36:0;50
51;Rozmiar:select:0;38:0;50
52;Rozmiar:select:0;28:0;50
52;Rozmiar:select:0;30:0;50
52;Rozmiar:select:0;32:0;50
52;Rozmiar:select:0;34:0;50
52;Rozmiar:select:0;36:0;50
52;Rozmiar:select:0;38:0;50
53;Rozmiar:select:0;S:0;50
54;Rozmiar:select:0;S:0;50
55;Rozmiar:select:0;M:0;50
55;Rozmiar:select:0;L:0;50
55;Rozmiar:select:0;XL:0;50
55;Rozmiar:select:0;XXL:0;50
56;Rozmiar:select:0;M:0;50
56;Rozmiar:select:0;L:0;50
57;Rozmiar:select:0;M:0;50
57;Rozmiar:select:0;L:0;50
57;Rozmiar:select:0;XL:0;50
57;Rozmiar:select:0;XXL:0;50
58;Rozmiar:select:0;M:0;50
58;Rozmiar:select:0;L:0;50
59;Rozmiar:select:0;M:0;50
59;Rozmiar:select:0;L:0;50
59;Rozmiar:select:0;XL:0;50
59;Rozmiar:select:0;XXL:0;50
60;Rozmiar:select:0;M:0;50
60;Rozmiar:select:0;L:0;50
61;Rozmiar:select:0;M:0;50
61;Rozmiar:select:0;XL:0;50
61;Rozmiar:select:0;XXL:0;50
62;Rozmiar:select:0;S:0;50
62;Rozmiar:select:0;M:0;50
63;Rozmiar:select:0;S:0;50
63;Rozmiar:select:0;M:0;50
64;Rozmiar:select:0;S:0;50
65;Rozmiar:select:0;29:0;50
65;Rozmiar:select:0;30:0;50
65;Rozmiar:select:0;31:0;50
65;Rozmiar:select:0;33:0;50
66;Rozmiar:select:0;29:0;50
66;Rozmiar:select:0;30:0;50
66;Rozmiar:select:0;31:0;50
67;Rozmiar:select:0;XXL:0;50
68;Rozmiar:select:0;M:0;50
68;Rozmiar:select:0;L:0;50
68;Rozmiar:select:0;XL:0;50
68;Rozmiar:select:0;XXL:0;50
69;Rozmiar:select:0;28:0;50
69;Rozmiar:select:0;30:0;50
69;Rozmiar:select:0;36:0;50
69;Rozmiar:select:0;38:0;50
70;Rozmiar:select:0;M:0;50
70;Rozmiar:select:0;L:0;50
70;Rozmiar:select:0;XL:0;50
70;Rozmiar:select:0;XXL:0;50
71;Rozmiar:select:0;L:0;50
72;Rozmiar:select:0;M:0;50
72;Rozmiar:select:0;L:0;50
72;Rozmiar:select:0;XL:0;50
72;Rozmiar:select:0;XXL:0;50
73;Rozmiar:select:0;M:0;50
73;Rozmiar:select:0;L:0;50
74;Rozmiar:select:0;M:0;50
74;Rozmiar:select:0;L:0;50
74;Rozmiar:select:0;XL:0;50
74;Rozmiar:select:0;XXL:0;50
75;Rozmiar:select:0;M:0;50
75;Rozmiar:select:0;L:0;50
76;Rozmiar:select:0;29:0;50
77;Rozmiar:select:0;S:0;50
78;Rozmiar:select:0;29:0;50
78;Rozmiar:select:0;30:0;50
78;Rozmiar:select:0;31:0;50
79;Rozmiar:select:0;29:0;50
80;Rozmiar:select:0;29:0;50
80;Rozmiar:select:0;31:0;50
81;Rozmiar:select:0;29:0;50
82;Rozmiar:select:0;S:0;50
83;Rozmiar:select:0;S:0;50
83;Rozmiar:select:0;L:0;50
83;Rozmiar:select:0;XL:0;50
83;Rozmiar:select:0;XXL:0;50
84;Rozmiar:select:0;28:0;50
84;Rozmiar:select:0;30:0;50
84;Rozmiar:select:0;34:0;50
85;Rozmiar:select:0;XL:0;50
86;Rozmiar:select:0;XXL:0;50
8;Rozmiar:select:0;XL:0;50
9;Rozmiar:select:0;XL:0;50
10;Rozmiar:select:0;XL:0;50
11;Rozmiar:select:0;XL:0;50
12;Rozmiar:select:0;XXL:0;50
